"Name,Price$,AvgRatingoutof5,ReviewCount"
"Krysenix PG1  Auriculares Blanco Para Juegos Con Cancelación De Ruido Stereo Gaming Headset Se puede usar para pc, ps5, ps4, Xbox,295.92,4.8,102"
"Auriculares Bluetooth Onikuma K19,411.0,4.8,20"
"Auriculares K2 Pro Gamer para PC, teléfono móvil y videojuegos, color azul,295.0,0.0,0"
"Diadema Gamer Core Headset Nyko Para Xbo One Switch Pc Ps4 Color Negro,430.0,4.0,4"
"Diadema Original Logitech H390 Pack De 10 Piezas Bulk,3.634,0.0,0"
"Auriculares estéreo P2 Asus Cerberus V2 negro/rojo,1.159,0.0,0"
"Auriculares Deportivos Inalámbricos M19 Audífonos Gamer Hifi,139.99,0.0,0"
"Headset Alámbrico Tx30 Voltedge Para Xbox One Color Verde/Negro,399.0,4.6,475"
"Audífonos Gamer Dreamgear Elite Universal Ps Xbox Switch Cel,547.4,4.0,4"
"Diadema Logitech H390 Usb Headset Rosado 981-001280,588.18,4.8,5"
